"filename", "language", "Properties", "JSON", "JavaScript", "SCSS", "XML", "TypeScript", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEdit\conEdit.component.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.component.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.module.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
